"","CURB_RAD","CW_DIST","SB_DIST","RAMPS_2","CRType_Dire","CRType_Blen","CWType_Cont","CWType_None","RT_LNS_05","RT_LNS_2","REC_LNS_1","CHANNEL","Skewed","EXTENSION","RTOR","Street.Lt","BIKE_LN","AADP0100","logAADP","AADT1000","logAADT","RTNotSig","OnRamp","OffRamp","popden_000_qtmi","empden_000_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","stops_qtmi","worship_qtmi","schools_qtmi","park_acre_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi"
"CURB_RAD",1,-0.0812239314462968,-0.474992243169228,-0.107844895294437,0.509925806217781,-0.121178445985386,0.0261885403024266,NA,-0.00303768351599155,0.369079490349106,0.499829979648017,0.611267827907692,0.0671604723523294,NA,NA,NA,-0.0227525511316773,-0.346029980166062,-0.449597826594188,0.192346266686692,0.172891534496632,0.436533238507842,0.418853983097817,0.34882977799281,-0.358234603121398,-0.122903426096291,-0.351147902320094,-0.0317256919772195,0.396297785115511,0.0108629455884937,0.253367142217191,-0.253950451053234,-0.154863436254655,-0.355055094900122,-0.519796319802876,-0.0970123696882305,-0.197118328617099,0.150503571006879,0.280227308489605,0.306837193843495
"CW_DIST",-0.0812239314462968,1,0.641502729124167,0.0730244726322058,-0.255753739885844,0.564674387383691,-0.138550324758716,NA,0.226631416220011,-0.230317422975528,-0.206169480769916,-0.410681681598894,-0.227641330410483,NA,NA,NA,-0.198583157884443,0.07979714444958,0.127550407748655,-0.218303685699065,-0.226564869225962,-0.307420635035011,-0.230317422975528,-0.270343779091958,0.188711880841162,0.110296110350636,-0.00552646377579471,0.246671300509839,-0.140307380318716,0.167844246360963,-0.0912683274005295,0.0526989683998936,-0.0184201222727685,0.0305317963055309,0.0419443973836935,-0.156943927869482,-0.195714568854967,-0.114366246972921,-0.277144976506519,-0.00636622554279981
"SB_DIST",-0.474992243169228,0.641502729124167,1,0.425714352846109,-0.182444386334292,0.505134314419594,-0.0467483826575495,NA,0.109768192769723,-0.186751311030936,-0.388187738713159,-0.332998439562829,-0.105589172260683,NA,NA,NA,-0.357550823401535,0.436869103215908,0.409520044333283,-0.177350792477697,-0.223230788044769,-0.249269924476584,-0.483228100527519,-0.219206408799761,0.239624834320357,0.283786237466208,0.0660958967107426,0.333604329836522,-0.506277624377385,0.171344986615813,0.00806186125068779,0.0949895173447686,0.151737155933888,0.266861173445165,0.16015730637699,0.129099292021992,-0.0372469500767378,-0.158643846662983,-0.328798069132413,-0.193161893005033
"RAMPS_2",-0.107844895294437,0.0730244726322058,0.425714352846109,1,0.387298334620742,-0.0625,-0.0777713771047819,NA,0.112962014264383,-0.0777713771047819,-0.115727512471569,-0.138675049056307,-0.172891018702031,NA,NA,NA,-0.115727512471569,0.61317503730446,0.425436432179264,-0.0435204265370591,-0.00590265805684912,-0.103806849817175,-0.0777713771047819,-0.0912870929175277,-0.0383739971845654,0.429176535469176,-0.191702881772342,0.249713926442699,-0.0778359909753165,0.134826825297953,-0.159252545374206,-0.0387950454678384,0.193019268352901,0.257774803061441,-0.176117488419087,0.45418259942043,-0.0278761280503402,-0.249792696815959,-0.372104342595178,-0.425918372788235
"CRType_Dire",0.509925806217781,-0.255753739885844,-0.182444386334292,0.387298334620742,1,-0.161374306091976,0.0267739776300833,NA,0.00833333333333333,0.254352787485791,0.209165006633519,0.55498902738056,0.243492376778837,NA,NA,NA,-0.129483099344559,0.0578573524194458,-0.121078319764321,-0.00736714122317649,0.0250849137790394,0.461008389980252,0.254352787485791,0.36533850361305,-0.295364598789304,0.0337879230805856,-0.194880313704136,0.0306340671105276,0.0920629152967138,0.269253384712102,-0.136438363089395,0.00619410113470392,-0.147361106939035,-0.0518955251857245,-0.356614516030234,0.314413478146651,-0.0784439997543255,0.0645636151201158,0.157004243610542,-0.129179467585635
"CRType_Blen",-0.121178445985386,0.564674387383691,0.505134314419594,-0.0625,-0.161374306091976,1,-0.0777713771047819,NA,0.112962014264383,-0.0777713771047819,-0.115727512471569,-0.138675049056307,-0.172891018702031,NA,NA,NA,-0.115727512471569,0.242830043306912,0.291362719646982,-0.105078589356753,-0.144547009077537,-0.103806849817175,-0.0777713771047819,-0.0912870929175277,0.548166126228276,0.234702284585915,-0.119463954726135,0.0667814135207334,-0.0749646574005946,0.142786859910932,0.098800183096324,-0.140844704835236,0.206430677803311,0.0841713642649603,0.405070223363899,-0.100929466537873,-0.131891489370384,-0.294100889763057,-0.214706691474086,0.0354913215878163
"CWType_Cont",0.0261885403024266,-0.138550324758716,-0.0467483826575495,-0.0777713771047819,0.0267739776300833,-0.0777713771047819,1,NA,0.0267739776300833,-0.0967741935483871,0.128004096196618,0.0718996635678813,0.0065192594489724,NA,NA,NA,0.128004096196618,-0.0503947275267696,0.0905706225238611,0.000770371516142843,0.0937347040059603,0.16361688704067,0.268817204301075,-0.113592366849413,-0.0798911203462979,-0.120724676042154,-0.0491344617627033,0.0379317429808579,-0.0563414422127129,0.0461800585740495,0.0213142891436126,0.0402305848202029,-0.140633511452997,0.248882195604567,0.10232343558582,0.335083126633356,0.0318360108544123,0.0351532509790559,-0.129982273866011,-0.0247673908259579
"CWType_None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT_LNS_05",-0.00303768351599155,0.226631416220011,0.109768192769723,0.112962014264383,0.00833333333333333,0.112962014264383,0.0267739776300833,NA,1,-0.200804832225625,0.378489059622558,-0.205883026286337,-0.0324656502371783,NA,NA,NA,-0.129483099344559,0.235394384216942,0.107571353969318,-0.0652069305505399,0.0351599390664791,-0.0857690027870236,0.254352787485791,-0.235702260395516,0.0503059180943639,0.0374825723600397,-0.0974896677810303,0.162955106134537,0.0848872195417372,0.218983015895409,-0.432027008958361,-0.107498556858823,-0.11691878836108,0.0742925413185109,-0.0548637716969591,-0.117905054304994,0.350419924644265,-0.232922300786477,-0.0931908032467156,-0.0354606975422774
"RT_LNS_2",0.369079490349106,-0.230317422975528,-0.186751311030936,-0.0777713771047819,0.254352787485791,-0.0777713771047819,-0.0967741935483871,NA,-0.200804832225625,1,-0.144004608221196,0.560817375829475,0.0065192594489724,NA,NA,NA,-0.144004608221196,-0.148202665358236,-0.188504110955979,0.707309780798265,0.581399959521704,-0.129171226611056,-0.0967741935483871,0.851942751370597,-0.159659920400427,0.0653328305305619,-0.164952775945681,-0.086048475454316,0.343977472482094,-0.170133299401936,0.0358315787470042,-0.279029161974086,0.0855278615411719,-0.154568942533363,-0.219264504826757,0.104713477072924,-0.0972818915671157,-0.0192118464219501,0.209462987053778,0.142391624338847
"REC_LNS_1",0.499829979648017,-0.206169480769916,-0.388187738713159,-0.115727512471569,0.209165006633519,-0.115727512471569,0.128004096196618,NA,0.378489059622558,-0.144004608221196,1,0.288873332444866,0.174617432928537,NA,NA,NA,0.19047619047619,-0.220705300787713,-0.350018081523203,-0.0990346087511425,-0.0357682748335826,0.461311046663094,0.672021505032247,-0.169030850945703,-0.136516846867573,-0.150185481067928,-0.253188715782629,0.035502575973569,0.184373156343225,-0.0316449651015677,-0.0214207883344994,-0.219568601248058,-0.0405465427993483,-0.251897398249811,-0.326860225230307,-0.187317162316339,0.0910229356754063,0.032279638937541,0.29606767840747,0.187283143927663
"CHANNEL",0.611267827907692,-0.410681681598894,-0.332998439562829,-0.138675049056307,0.55498902738056,-0.138675049056307,0.0718996635678813,NA,-0.205883026286337,0.560817375829475,0.288873332444866,1,0.357455451089405,NA,NA,NA,-0.0748930861894098,-0.271054361348097,-0.356641108241882,0.345010531796677,0.218281276568583,0.748561839520428,0.316358519698678,0.658280588604383,-0.388715505412734,-0.0765212775022945,-0.155369632400428,-0.0741946203521851,0.141869117666786,0.218504380246803,0.0752420216486862,-0.163853160053746,-0.0970935983862445,-0.295832990967802,-0.284368395950367,0.0842927230423525,-0.0237086133731509,0.18048640880831,0.423375635108914,0.167852407078422
"Skewed",0.0671604723523294,-0.227641330410483,-0.105589172260683,-0.172891018702031,0.243492376778837,-0.172891018702031,0.0065192594489724,NA,-0.0324656502371783,0.0065192594489724,0.174617432928537,0.357455451089405,1,NA,NA,NA,0.00970096849602985,-0.333941883099582,-0.414805262509676,0.136862016749095,-0.0469750585635688,0.422902991436902,0.0065192594489724,0.137740088630036,-0.430663358783973,-0.375751909237813,0.0438412181073247,-0.126236879457766,0.0698756810564521,0.246547892505226,-0.0466397784613332,0.152493799265488,-0.0233177213507446,-0.433497848150838,-0.098058067569092,-0.140487871737254,-0.160925776651644,0.201446483807647,0.205608321601982,0.141358486284939
"EXTENSION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Street.Lt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIKE_LN",-0.0227525511316773,-0.198583157884443,-0.357550823401535,-0.115727512471569,-0.129483099344559,-0.115727512471569,0.128004096196618,NA,-0.129483099344559,-0.144004608221196,0.19047619047619,-0.0748930861894098,0.00970096849602985,NA,NA,NA,1,-0.0930245197714034,-0.0453527467702219,-0.10673684364506,-0.046905758144348,0.025628391481283,0.400012800614433,-0.169030850945703,0.0842454978728047,-0.187650100594572,0.295600684955389,-0.315852448574498,0.184373156343225,-0.11322404820791,-0.217094764027323,-0.0340644045143197,-0.199253948679342,0.0273377021356384,0.272383521025256,0.156097635263616,0.15097234983044,0.0917786766100912,0.04286260849983,0.00225099173993557
"AADP0100",-0.346029980166062,0.07979714444958,0.436869103215908,0.61317503730446,0.0578573524194458,0.242830043306912,-0.0503947275267696,NA,0.235394384216942,-0.148202665358236,-0.220705300787713,-0.271054361348097,-0.333941883099582,NA,NA,NA,-0.0930245197714034,1,0.804869536463627,-0.0723722690232941,-0.0186132399919723,-0.205951697702849,-0.163612078990466,-0.16473268038192,0.385975372272822,0.704241326634464,-0.164168877865817,0.169458881315733,-0.117842352131883,0.137692794262295,-0.151968985604337,-0.0802213930693051,0.257222367496216,0.507335382101694,0.267187524287529,0.3009617324232,0.345862760361833,-0.347831906701938,-0.453528937721109,-0.636527480070783
"logAADP",-0.449597826594188,0.127550407748655,0.409520044333283,0.425436432179264,-0.121078319764321,0.291362719646982,0.0905706225238611,NA,0.107571353969318,-0.188504110955979,-0.350018081523203,-0.356641108241882,-0.414805262509676,NA,NA,NA,-0.0453527467702219,0.804869536463627,1,0.00025902843832649,0.0486940308905602,-0.276182973607492,-0.263424586777732,-0.16465658813208,0.637475044482318,0.444051267328016,0.0376501869838253,-0.0620735278780539,-0.0714263586840649,0.176566956999231,-0.243038263107328,0.0885477460097816,0.0675973163948123,0.695218690043273,0.468336033937485,0.324013967175476,0.416909590043291,-0.497008683232837,-0.526257716696489,-0.61941884554689
"AADT1000",0.192346266686692,-0.218303685699065,-0.177350792477697,-0.0435204265370591,-0.00736714122317649,-0.105078589356753,0.000770371516142843,NA,-0.0652069305505399,0.707309780798265,-0.0990346087511425,0.345010531796677,0.136862016749095,NA,NA,NA,-0.10673684364506,-0.0723722690232941,0.00025902843832649,1,0.888811495919466,-0.154743013173784,-0.0163699766915115,0.55849285841982,-0.12484296289253,-0.0131670457278104,-0.307074903835599,-0.123394630845614,0.584723653916171,-0.191461252823279,0.0482537419968818,-0.245258204015814,0.209676628729079,-0.0692383732015438,-0.182611830541071,0.0245941845213549,-0.045569834185892,-0.257461515225219,0.0244568815870876,-0.0610368092589513
"logAADT",0.172891534496632,-0.226564869225962,-0.223230788044769,-0.00590265805684912,0.0250849137790394,-0.144547009077537,0.0937347040059603,NA,0.0351599390664791,0.581399959521704,-0.0357682748335826,0.218281276568583,-0.0469750585635688,NA,NA,NA,-0.046905758144348,-0.0186132399919723,0.0486940308905602,0.888811495919466,1,-0.205260999052008,0.0721245436205173,0.390283798101707,-0.0341188171294839,0.00769453186805922,-0.358088148516185,0.0331554339937372,0.423122312335511,-0.303407328746222,-0.00117976109221323,-0.209774003273812,0.177091044385494,0.18956749001975,-0.217255996921887,0.0204993418120847,0.059534819646189,-0.340872426197471,0.146331800853162,-0.224852666064641
"RTNotSig",0.436533238507842,-0.307420635035011,-0.249269924476584,-0.103806849817175,0.461008389980252,-0.103806849817175,0.16361688704067,NA,-0.0857690027870236,-0.129171226611056,0.461311046663094,0.748561839520428,0.422902991436902,NA,NA,NA,0.025628391481283,-0.205951697702849,-0.276182973607492,-0.154743013173784,-0.205260999052008,1,0.456405000692396,0.106133726101046,-0.336591167131607,-0.143843220369315,-0.0534457783983259,-0.0196872656598618,-0.106229511240013,0.39757279720232,0.061202240191846,0.027879056450847,-0.184623894055286,-0.22965719176201,-0.164082530828473,0.0167915123564867,0.0496618244762135,0.231126265206199,0.338086657413256,0.0864547120095898
"OnRamp",0.418853983097817,-0.230317422975528,-0.483228100527519,-0.0777713771047819,0.254352787485791,-0.0777713771047819,0.268817204301075,NA,0.254352787485791,-0.0967741935483871,0.672021505032247,0.316358519698678,0.0065192594489724,NA,NA,NA,0.400012800614433,-0.163612078990466,-0.263424586777732,-0.0163699766915115,0.0721245436205173,0.456405000692396,1,-0.113592366849413,-0.139549248956724,-0.00792947243364028,-0.142115399476256,-0.0750214212288455,0.344267573761053,0.0646541832585861,-0.233382961752069,-0.0526178862824816,-0.245233146389833,-0.183386880971786,-0.219264504826757,-0.125656172487509,0.0937843569242247,0.0118071312368798,0.0404864277991199,0.0872420544691827
"OffRamp",0.34882977799281,-0.270343779091958,-0.219206408799761,-0.0912870929175277,0.36533850361305,-0.0912870929175277,-0.113592366849413,NA,-0.235702260395516,0.851942751370597,-0.169030850945703,0.658280588604383,0.137740088630036,NA,NA,NA,-0.169030850945703,-0.16473268038192,-0.16465658813208,0.55849285841982,0.390283798101707,0.106133726101046,-0.113592366849413,1,-0.241188280126372,-0.0176493135442714,-0.204040805290533,-0.0294828390161161,0.274533494654243,0.227340646859389,-0.0656383523180495,-0.11356754871311,0.00862411363190465,-0.257683159340169,-0.115880895590536,0.258257458170223,-0.0655272093301695,0.146916423238752,0.185289395667676,0.175174674582136
"popden_000_qtmi",-0.358234603121398,0.188711880841162,0.239624834320357,-0.0383739971845654,-0.295364598789304,0.548166126228276,-0.0798911203462979,NA,0.0503059180943639,-0.159659920400427,-0.136516846867573,-0.388715505412734,-0.430663358783973,NA,NA,NA,0.0842454978728047,0.385975372272822,0.637475044482318,-0.12484296289253,-0.0341188171294839,-0.336591167131607,-0.139549248956724,-0.241188280126372,1,0.212586311680431,0.108089599995746,-0.188659651849026,-0.144055538618161,-0.127876025086576,0.00825311080960612,0.185586277650142,0.0279332449381408,0.504450003788866,0.527684835983745,-0.0220103297979044,0.26885493187746,-0.477926170361059,-0.377893159038044,-0.34732029090673
"empden_000_qtmi",-0.122903426096291,0.110296110350636,0.283786237466208,0.429176535469176,0.0337879230805856,0.234702284585915,-0.120724676042154,NA,0.0374825723600397,0.0653328305305619,-0.150185481067928,-0.0765212775022945,-0.375751909237813,NA,NA,NA,-0.187650100594572,0.704241326634464,0.444051267328016,-0.0131670457278104,0.00769453186805922,-0.143843220369315,-0.00792947243364028,-0.0176493135442714,0.212586311680431,1,-0.291234263226747,0.327371011695684,-0.0674366727090864,0.129709062075207,-0.121119513427291,-0.102121949086421,0.247813813830856,0.239131114361611,-0.0440659743831608,0.0645832741291991,0.00786265977497908,-0.235963170848746,-0.334760409183405,-0.54028870376839
"per_res_qtmi",-0.351147902320094,-0.00552646377579471,0.0660958967107426,-0.191702881772342,-0.194880313704136,-0.119463954726135,-0.0491344617627033,NA,-0.0974896677810303,-0.164952775945681,-0.253188715782629,-0.155369632400428,0.0438412181073247,NA,NA,NA,0.295600684955389,-0.164168877865817,0.0376501869838253,-0.307074903835599,-0.358088148516185,-0.0534457783983259,-0.142115399476256,-0.204040805290533,0.108089599995746,-0.291234263226747,1,-0.658594138776442,-0.217942918793487,-0.186170628333858,-0.138180646578369,0.445592759238038,-0.480974846675745,0.26553965369082,0.411536688771113,-0.0385484977172331,0.196810535136667,0.149039147200194,0.102728484126304,0.120113662269655
"per_com_qtmi",-0.0317256919772195,0.246671300509839,0.333604329836522,0.249713926442699,0.0306340671105276,0.0667814135207334,0.0379317429808579,NA,0.162955106134537,-0.086048475454316,0.035502575973569,-0.0741946203521851,-0.126236879457766,NA,NA,NA,-0.315852448574498,0.169458881315733,-0.0620735278780539,-0.123394630845614,0.0331554339937372,-0.0196872656598618,-0.0750214212288455,-0.0294828390161161,-0.188659651849026,0.327371011695684,-0.658594138776442,1,-0.404474201018883,0.270467898467663,-0.0993537012023541,-0.286573704574829,0.340770669947233,-0.0720185717823141,-0.38620174561567,0.0472720564762207,-0.0475349120789027,0.0851230580353169,-0.0122436875601913,-0.137755656807019
"per_ind_qtmi",0.396297785115511,-0.140307380318716,-0.506277624377385,-0.0778359909753165,0.0920629152967138,-0.0749646574005946,-0.0563414422127129,NA,0.0848872195417372,0.343977472482094,0.184373156343225,0.141869117666786,0.0698756810564521,NA,NA,NA,0.184373156343225,-0.117842352131883,-0.0714263586840649,0.584723653916171,0.423122312335511,-0.106229511240013,0.344267573761053,0.274533494654243,-0.144055538618161,-0.0674366727090864,-0.217942918793487,-0.404474201018883,1,-0.108896083575944,-0.0725654130374683,-0.255172158248692,0.074636609136716,-0.277601998334666,-0.168995044128106,-0.121767148222074,-0.156289717463256,-0.270794793853007,-0.115685458672556,0.0450653124096864
"per_vac_qtmi",0.0108629455884937,0.167844246360963,0.171344986615813,0.134826825297953,0.269253384712102,0.142786859910932,0.0461800585740495,NA,0.218983015895409,-0.170133299401936,-0.0316449651015677,0.218504380246803,0.246547892505226,NA,NA,NA,-0.11322404820791,0.137692794262295,0.176566956999231,-0.191461252823279,-0.303407328746222,0.39757279720232,0.0646541832585861,0.227340646859389,-0.127876025086576,0.129709062075207,-0.186170628333858,0.270467898467663,-0.108896083575944,1,-0.468724921995161,0.134963397831885,-0.205519819190029,-0.242932050263602,0.0582892724809389,0.225934834961361,0.0838541738972916,0.0644212241033247,-0.26019694483231,-0.0764044706204093
"per_other_qtmi",0.253367142217191,-0.0912683274005295,0.00806186125068779,-0.159252545374206,-0.136438363089395,0.098800183096324,0.0213142891436126,NA,-0.432027008958361,0.0358315787470042,-0.0214207883344994,0.0752420216486862,-0.0466397784613332,NA,NA,NA,-0.217094764027323,-0.151968985604337,-0.243038263107328,0.0482537419968818,-0.00117976109221323,0.061202240191846,-0.233382961752069,-0.0656383523180495,0.00825311080960612,-0.121119513427291,-0.138180646578369,-0.0993537012023541,-0.0725654130374683,-0.468724921995161,1,-0.136543605840042,0.296652461997657,-0.123725615565763,-0.034294202095274,-0.0788563486400049,-0.352610608202366,0.139184115334359,0.0903239577006056,0.27430747875543
"intden_qtmi",-0.253950451053234,0.0526989683998936,0.0949895173447686,-0.0387950454678384,0.00619410113470392,-0.140844704835236,0.0402305848202029,NA,-0.107498556858823,-0.279029161974086,-0.219568601248058,-0.163853160053746,0.152493799265488,NA,NA,NA,-0.0340644045143197,-0.0802213930693051,0.0885477460097816,-0.245258204015814,-0.209774003273812,0.027879056450847,-0.0526178862824816,-0.11356754871311,0.185586277650142,-0.102121949086421,0.445592759238038,-0.286573704574829,-0.255172158248692,0.134963397831885,-0.136543605840042,1,-0.56078360524676,0.235073659694112,0.20873279962759,-0.0833204057163053,0.130808615494851,0.0735602722494103,-0.223499556875214,-0.193409772465127
"per4wy_qtmi",-0.154863436254655,-0.0184201222727685,0.151737155933888,0.193019268352901,-0.147361106939035,0.206430677803311,-0.140633511452997,NA,-0.11691878836108,0.0855278615411719,-0.0405465427993483,-0.0970935983862445,-0.0233177213507446,NA,NA,NA,-0.199253948679342,0.257222367496216,0.0675973163948123,0.209676628729079,0.177091044385494,-0.184623894055286,-0.245233146389833,0.00862411363190465,0.0279332449381408,0.247813813830856,-0.480974846675745,0.340770669947233,0.074636609136716,-0.205519819190029,0.296652461997657,-0.56078360524676,1,-0.0694334929386164,0.0228896697818082,0.113021539622935,-0.250090089641383,-0.243183648582044,-0.000483454488188363,-0.177013979352733
"stops_qtmi",-0.355055094900122,0.0305317963055309,0.266861173445165,0.257774803061441,-0.0518955251857245,0.0841713642649603,0.248882195604567,NA,0.0742925413185109,-0.154568942533363,-0.251897398249811,-0.295832990967802,-0.433497848150838,NA,NA,NA,0.0273377021356384,0.507335382101694,0.695218690043273,-0.0692383732015438,0.18956749001975,-0.22965719176201,-0.183386880971786,-0.257683159340169,0.504450003788866,0.239131114361611,0.26553965369082,-0.0720185717823141,-0.277601998334666,-0.242932050263602,-0.123725615565763,0.235073659694112,-0.0694334929386164,1,0.292960273721159,0.222207044920749,0.349004731230686,-0.428277965351583,-0.0674884770229962,-0.567102205552196
"worship_qtmi",-0.519796319802876,0.0419443973836935,0.16015730637699,-0.176117488419087,-0.356614516030234,0.405070223363899,0.10232343558582,NA,-0.0548637716969591,-0.219264504826757,-0.326860225230307,-0.284368395950367,-0.098058067569092,NA,NA,NA,0.272383521025256,0.267187524287529,0.468336033937485,-0.182611830541071,-0.217255996921887,-0.164082530828473,-0.219264504826757,-0.115880895590536,0.527684835983745,-0.0440659743831608,0.411536688771113,-0.38620174561567,-0.168995044128106,0.0582892724809389,-0.034294202095274,0.20873279962759,0.0228896697818082,0.292960273721159,1,0.229599486990827,0.327768849767737,-0.0576370136933435,-0.302452969979197,-0.0971280418267394
"schools_qtmi",-0.0970123696882305,-0.156943927869482,0.129099292021992,0.45418259942043,0.314413478146651,-0.100929466537873,0.335083126633356,NA,-0.117905054304994,0.104713477072924,-0.187317162316339,0.0842927230423525,-0.140487871737254,NA,NA,NA,0.156097635263616,0.3009617324232,0.324013967175476,0.0245941845213549,0.0204993418120847,0.0167915123564867,-0.125656172487509,0.258257458170223,-0.0220103297979044,0.0645832741291991,-0.0385484977172331,0.0472720564762207,-0.121767148222074,0.225934834961361,-0.0788563486400049,-0.0833204057163053,0.113021539622935,0.222207044920749,0.229599486990827,1,-0.0970722504768482,0.155363864484189,-0.212968714296617,-0.128249960135911
"park_acre_qtmi",-0.197118328617099,-0.195714568854967,-0.0372469500767378,-0.0278761280503402,-0.0784439997543255,-0.131891489370384,0.0318360108544123,NA,0.350419924644265,-0.0972818915671157,0.0910229356754063,-0.0237086133731509,-0.160925776651644,NA,NA,NA,0.15097234983044,0.345862760361833,0.416909590043291,-0.045569834185892,0.059534819646189,0.0496618244762135,0.0937843569242247,-0.0655272093301695,0.26885493187746,0.00786265977497908,0.196810535136667,-0.0475349120789027,-0.156289717463256,0.0838541738972916,-0.352610608202366,0.130808615494851,-0.250090089641383,0.349004731230686,0.327768849767737,-0.0970722504768482,1,-0.00572743740936515,-0.10254618631298,-0.280891681694064
"income_000_qtmi",0.150503571006879,-0.114366246972921,-0.158643846662983,-0.249792696815959,0.0645636151201158,-0.294100889763057,0.0351532509790559,NA,-0.232922300786477,-0.0192118464219501,0.032279638937541,0.18048640880831,0.201446483807647,NA,NA,NA,0.0917786766100912,-0.347831906701938,-0.497008683232837,-0.257461515225219,-0.340872426197471,0.231126265206199,0.0118071312368798,0.146916423238752,-0.477926170361059,-0.235963170848746,0.149039147200194,0.0851230580353169,-0.270794793853007,0.0644212241033247,0.139184115334359,0.0735602722494103,-0.243183648582044,-0.428277965351583,-0.0576370136933435,0.155363864484189,-0.00572743740936515,1,0.148435248967933,0.531977379425977
"avgveh_qtmi",0.280227308489605,-0.277144976506519,-0.328798069132413,-0.372104342595178,0.157004243610542,-0.214706691474086,-0.129982273866011,NA,-0.0931908032467156,0.209462987053778,0.29606767840747,0.423375635108914,0.205608321601982,NA,NA,NA,0.04286260849983,-0.453528937721109,-0.526257716696489,0.0244568815870876,0.146331800853162,0.338086657413256,0.0404864277991199,0.185289395667676,-0.377893159038044,-0.334760409183405,0.102728484126304,-0.0122436875601913,-0.115685458672556,-0.26019694483231,0.0903239577006056,-0.223499556875214,-0.000483454488188363,-0.0674884770229962,-0.302452969979197,-0.212968714296617,-0.10254618631298,0.148435248967933,1,0.264400431047474
"hhsize_qtmi",0.306837193843495,-0.00636622554279981,-0.193161893005033,-0.425918372788235,-0.129179467585635,0.0354913215878163,-0.0247673908259579,NA,-0.0354606975422774,0.142391624338847,0.187283143927663,0.167852407078422,0.141358486284939,NA,NA,NA,0.00225099173993557,-0.636527480070783,-0.61941884554689,-0.0610368092589513,-0.224852666064641,0.0864547120095898,0.0872420544691827,0.175174674582136,-0.34732029090673,-0.54028870376839,0.120113662269655,-0.137755656807019,0.0450653124096864,-0.0764044706204093,0.27430747875543,-0.193409772465127,-0.177013979352733,-0.567102205552196,-0.0971280418267394,-0.128249960135911,-0.280891681694064,0.531977379425977,0.264400431047474,1
